algorithm,num_requests,num_nodes,data_uniformity,seed,topology_type,balanced_tree_branching_factor,request_idx,node_idx,timestamp,included_modalities,needed_modalities,selected_nodes,modality_assignment,cost,successful_calculation,missing_modalities,time_taken,fairness_index,successful_calculation_overall,failed_calculation_count,failed_calculations
proposed,10,10,1.0,1,balanced_tree,2,0,5,2013-08-28,['temp_min'],"['temp_max', 'wind', 'precipitation']","[8, 9, 6]","{'temp_max': 6, 'wind': 9, 'precipitation': 8}",8.0,True,[],0.025972843170166016,0.6437956204379562,1.0,0,[]
proposed_fast,10,10,1.0,1,balanced_tree,2,0,5,2013-08-28,['temp_min'],"['temp_max', 'wind', 'precipitation']","[8, 9, 6]","{'temp_max': 6, 'wind': 9, 'precipitation': 8}",8.0,True,[],0.010046958923339844,0.6437956204379562,1.0,0,[]
random,10,10,1.0,1,balanced_tree,2,0,5,2013-08-28,['temp_min'],"['temp_max', 'wind', 'precipitation']","[8, 9, 6]","{'wind': 9, 'precipitation': 8, 'temp_max': 6}",8.0,True,[],0.02393507957458496,0.7296551724137931,1.0,0,[]
ilp,10,10,1.0,1,balanced_tree,2,0,5,2013-08-28,['temp_min'],"['temp_max', 'wind', 'precipitation']","[8, 9, 6]","{'temp_max': 6, 'precipitation': 8, 'wind': 9}",8.0,True,[],0.9500579833984375,0.6437956204379562,1.0,0,[]
proposed,10,10,1.0,1,balanced_tree,2,1,5,2015-11-29,"['temp_min', 'wind', 'precipitation']",['temp_max'],[6],{'temp_max': 6},2.0,True,[],0.025972843170166016,0.6437956204379562,1.0,0,[]
proposed_fast,10,10,1.0,1,balanced_tree,2,1,5,2015-11-29,"['temp_min', 'wind', 'precipitation']",['temp_max'],[6],{'temp_max': 6},2.0,True,[],0.010046958923339844,0.6437956204379562,1.0,0,[]
random,10,10,1.0,1,balanced_tree,2,1,5,2015-11-29,"['temp_min', 'wind', 'precipitation']",['temp_max'],[6],{'temp_max': 6},2.0,True,[],0.02393507957458496,0.7296551724137931,1.0,0,[]
ilp,10,10,1.0,1,balanced_tree,2,1,5,2015-11-29,"['temp_min', 'wind', 'precipitation']",['temp_max'],[6],{'temp_max': 6},2.0,True,[],0.9500579833984375,0.6437956204379562,1.0,0,[]
proposed,10,10,1.0,1,balanced_tree,2,2,6,2013-11-07,['temp_max'],"['wind', 'temp_min', 'precipitation']","[8, 9, 5]","{'wind': 9, 'temp_min': 5, 'precipitation': 8}",8.0,True,[],0.025972843170166016,0.6437956204379562,1.0,0,[]
proposed_fast,10,10,1.0,1,balanced_tree,2,2,6,2013-11-07,['temp_max'],"['wind', 'temp_min', 'precipitation']","[8, 9, 5]","{'wind': 9, 'temp_min': 5, 'precipitation': 8}",8.0,True,[],0.010046958923339844,0.6437956204379562,1.0,0,[]
